
 num     #instances         #bytes  class name
----------------------------------------------
   1:           954       24352952  [B
   2:         25885        2480896  [C
   3:          5066        1143112  [I
   4:          5955         563944  java.lang.Class
   5:         25500         408000  java.lang.String
   6:         11968         287232  java.util.concurrent.ConcurrentHashMap$Node
   7:          5563         272768  [Ljava.lang.Object;
   8:          2324         204512  java.lang.reflect.Method
   9:          2232         179136  [Ljava.util.HashMap$Node;
  10:           104         150848  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  11:          4612         147584  java.util.LinkedHashMap$Entry
  12:          2453         137368  java.util.LinkedHashMap
  13:          5254         126096  java.util.HashMap$Node
  14:          7638          61104  java.lang.Object
  15:          2324          45880  [Ljava.lang.Class;
  16:          1116          44640  java.lang.invoke.MemberName
  17:          1258          40256  java.lang.ref.SoftReference
  18:          1013          36568  [Ljava.lang.String;
  19:           906          36240  java.util.HashMap
  20:          1124          35968  java.util.TreeMap$Entry
  21:          1035          33120  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  22:          1027          32864  java.lang.invoke.MethodType
  23:           663          31824  org.springframework.core.ResolvableType
  24:          1143          27432  java.util.ArrayList
  25:          1107          26568  java.util.concurrent.locks.ReentrantLock$NonfairSync
  26:           124          22816  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  27:           695          22240  java.lang.invoke.DirectMethodHandle
  28:           528          21120  org.springframework.util.ConcurrentReferenceHashMap$Segment
  29:           286          20592  java.lang.reflect.Constructor
  30:           528          18504  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  31:           299          16744  org.springframework.core.annotation.TypeMappedAnnotation
  32:           653          15672  java.lang.ref.ReferenceQueue
  33:           317          15216  java.lang.Package
  34:           235          15040  java.util.concurrent.ConcurrentHashMap
  35:            81          14256  org.springframework.beans.factory.support.RootBeanDefinition
  36:           588          14112  java.util.concurrent.ConcurrentLinkedDeque$Node
  37:           546          13104  sun.reflect.annotation.AnnotationInvocationHandler
  38:           544          13056  sun.reflect.generics.tree.SimpleClassTypeSignature
  39:           303          12120  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  40:           210          11760  [Ljava.lang.ref.SoftReference;
  41:           367          11744  java.lang.invoke.LambdaForm$Name
  42:           730          11680  java.util.LinkedHashSet
  43:           291          11640  ch.qos.logback.classic.Logger
  44:           483          11592  java.util.Hashtable$Entry
  45:           169          10816  java.net.URL
  46:            94          10656  [Z
  47:           437          10488  java.lang.Class$AnnotationData
  48:           106           9632  [Ljava.util.WeakHashMap$Entry;
  49:           196           9408  java.util.logging.LogManager$LoggerWeakRef
  50:           579           9264  java.util.concurrent.locks.ReentrantLock
